altitude,latitude,longitude,position_covariance_type,service,status,Time (s)
8.38285411615,1.2673039355,103.790910358,2,5,2,1726755092.65
8.38285251148,1.26730394067,103.790910385,2,5,2,1726755092.7
8.38449561037,1.26730392135,103.790910378,2,5,2,1726755092.74
8.38203676883,1.26730392525,103.790910377,2,5,2,1726755092.8
8.38407158386,1.26730392192,103.790910375,2,5,2,1726755092.84
8.38102279417,1.26730392819,103.790910372,2,5,2,1726755092.92
8.37763069663,1.26730391802,103.790910366,2,5,2,1726755092.94
8.38268630486,1.26730392396,103.790910365,2,5,2,1726755093.02
8.38364583068,1.26730392357,103.790910367,2,5,2,1726755093.04
8.38300357945,1.26730392282,103.790910366,2,5,2,1726755093.14
8.3816507291,1.26730391617,103.790910374,2,5,2,1726755093.15
8.38489687443,1.26730392817,103.790910382,2,5,2,1726755093.2
8.38086074591,1.26730391443,103.790910362,2,5,2,1726755093.24
8.45262435265,1.26730406557,103.790910382,2,5,2,1726755093.29
8.45078693051,1.26730407364,103.790910373,2,5,2,1726755093.35
8.45287584513,1.26730406706,103.7909104,2,5,2,1726755093.39
8.44987151306,1.26730406528,103.790910378,2,5,2,1726755093.44
8.45409029815,1.26730405332,103.790910376,2,5,2,1726755093.51
8.44760999735,1.26730405568,103.790910371,2,5,2,1726755093.54
8.45135850087,1.26730405756,103.790910373,2,5,2,1726755093.59
8.450963418,1.26730405241,103.790910374,2,5,2,1726755093.64
8.44085616432,1.26730404829,103.790910368,2,5,2,1726755093.7
8.44052931946,1.2673040581,103.790910363,2,5,2,1726755093.75
8.44210447744,1.26730404396,103.790910347,2,5,2,1726755093.79
8.43752637599,1.26730403126,103.79091034,2,5,2,1726755093.84
8.44558723923,1.26730403169,103.790910335,2,5,2,1726755093.89
8.44774447475,1.26730404876,103.790910359,2,5,2,1726755093.95
8.43400624115,1.26730402896,103.790910364,2,5,2,1726755094.03
8.44023808558,1.26730402349,103.790910365,2,5,2,1726755094.04
8.43848523963,1.2673040189,103.790910366,2,5,2,1726755094.09
8.43627777416,1.26730402336,103.790910351,2,5,2,1726755094.15
8.44048147928,1.26730401844,103.790910355,2,5,2,1726755094.2
8.43693453819,1.267304003,103.790910357,2,5,2,1726755094.25
8.47388002649,1.26730402142,103.790910452,2,5,2,1726755094.31
8.47593996581,1.2673040227,103.790910429,2,5,2,1726755094.34
8.47855864838,1.26730401406,103.790910449,2,5,2,1726755094.4
8.47638860438,1.2673040168,103.79091045,2,5,2,1726755094.44
8.4719970962,1.26730401275,103.790910439,2,5,2,1726755094.51
8.4753167145,1.26730400966,103.79091043,2,5,2,1726755094.55
8.47524434514,1.2673039863,103.790910424,2,5,2,1726755094.59
8.47856055666,1.26730400358,103.790910431,2,5,2,1726755094.65
8.48014345951,1.26730400501,103.790910451,2,5,2,1726755094.69
8.48135596327,1.2673039881,103.790910434,2,5,2,1726755094.74
8.47233412229,1.26730398532,103.790910425,2,5,2,1726755094.8
8.47943496704,1.2673039787,103.790910432,2,5,2,1726755094.84
8.47772295773,1.2673039586,103.790910456,2,5,2,1726755094.88
8.46321064234,1.26730392498,103.790910439,2,5,2,1726755094.94
8.46835285239,1.26730392551,103.790910422,2,5,2,1726755095.02
8.46696329489,1.26730393006,103.790910419,2,5,2,1726755095.04
8.47048885934,1.26730392917,103.790910439,2,5,2,1726755095.09
8.46897212323,1.2673039292,103.790910447,2,5,2,1726755095.15
8.46861889213,1.26730392307,103.790910441,2,5,2,1726755095.2
8.46437068004,1.26730392729,103.790910447,2,5,2,1726755095.24
8.47166136093,1.26730392577,103.790910458,2,5,2,1726755095.29
8.51825074479,1.26730410373,103.790910649,2,5,2,1726755095.34
8.51518294308,1.26730409456,103.790910662,2,5,2,1726755095.39
8.51335211657,1.26730409999,103.790910659,2,5,2,1726755095.44
8.51204049867,1.26730409574,103.790910648,2,5,2,1726755095.49
8.5142425634,1.26730407384,103.790910645,2,5,2,1726755095.55
8.51763877645,1.26730408966,103.790910649,2,5,2,1726755095.59
8.51339823101,1.26730409263,103.790910644,2,5,2,1726755095.64
8.51351173129,1.26730409512,103.790910651,2,5,2,1726755095.7
8.51726112608,1.26730409042,103.790910656,2,5,2,1726755095.73
8.51845006458,1.26730408635,103.790910645,2,5,2,1726755095.79
8.51294064429,1.26730409197,103.790910657,2,5,2,1726755095.84
8.51552397758,1.26730408535,103.790910653,2,5,2,1726755095.9
8.5169358151,1.26730407066,103.790910656,2,5,2,1726755095.94
8.50938532595,1.26730407803,103.790910645,2,5,2,1726755096.02
8.51115919184,1.26730407276,103.790910647,2,5,2,1726755096.04
8.51539340708,1.2673040747,103.790910642,2,5,2,1726755096.09
8.51042227168,1.26730407128,103.790910636,2,5,2,1726755096.15
8.51601450983,1.26730407179,103.79091064,2,5,2,1726755096.2
8.51442289818,1.26730406313,103.790910644,2,5,2,1726755096.25
8.51465961523,1.26730405473,103.790910641,2,5,2,1726755096.29
8.51731711719,1.26730406769,103.790910648,2,5,2,1726755096.37
8.51759383269,1.26730406554,103.79091064,2,5,2,1726755096.4
8.52258420456,1.26730406326,103.79091065,2,5,2,1726755096.45
8.56603362039,1.26730439986,103.790910799,2,5,2,1726755096.5
8.56044363696,1.26730440346,103.790910786,2,5,2,1726755096.54
8.56501724012,1.26730439016,103.790910807,2,5,2,1726755096.6
8.56171158049,1.26730439362,103.790910819,2,5,2,1726755096.65
8.56811857689,1.26730441002,103.790910805,2,5,2,1726755096.69
8.56466732081,1.26730441564,103.790910804,2,5,2,1726755096.74
8.56258638948,1.26730437991,103.790910794,2,5,2,1726755096.8
8.56102289446,1.26730438066,103.790910789,2,5,2,1726755096.84
8.56218460016,1.26730438056,103.790910796,2,5,2,1726755096.88
8.5653192373,1.26730437785,103.790910793,2,5,2,1726755096.94
8.56588505581,1.26730439301,103.790910794,2,5,2,1726755097.03
8.56544273533,1.26730438809,103.790910785,2,5,2,1726755097.04
8.56434389111,1.26730439302,103.790910783,2,5,2,1726755097.09
8.56227160059,1.26730438609,103.790910789,2,5,2,1726755097.14
8.56473818514,1.26730439316,103.790910788,2,5,2,1726755097.2
8.56560881156,1.26730439555,103.790910781,2,5,2,1726755097.24
8.56188518647,1.26730438598,103.790910769,2,5,2,1726755097.3
8.63662633765,1.26730471941,103.79091089,2,5,2,1726755097.35
8.6298943283,1.26730470743,103.790910887,2,5,2,1726755097.39
8.63352941535,1.26730471324,103.790910889,2,5,2,1726755097.45
8.62576781586,1.26730470649,103.790910889,2,5,2,1726755097.51
8.62669178843,1.26730470713,103.790910878,2,5,2,1726755097.54
8.62434985675,1.26730470027,103.790910869,2,5,2,1726755097.6
8.62725601252,1.26730469073,103.790910876,2,5,2,1726755097.64
8.62332912069,1.26730467965,103.790910841,2,5,2,1726755097.69
8.62842608057,1.26730469315,103.790910888,2,5,2,1726755097.74
8.63298089989,1.26730468923,103.790910858,2,5,2,1726755097.79
8.62016054615,1.26730467613,103.790910841,2,5,2,1726755097.84
8.62829336245,1.26730468429,103.790910874,2,5,2,1726755097.89
8.62424698379,1.2673046846,103.79091088,2,5,2,1726755097.95
8.61923020333,1.26730467337,103.790910865,2,5,2,1726755098.02
8.62186780851,1.26730467056,103.79091086,2,5,2,1726755098.05
8.62261706032,1.26730466126,103.790910862,2,5,2,1726755098.1
8.62147417478,1.26730466739,103.790910849,2,5,2,1726755098.14
8.62371130474,1.26730466646,103.79091086,2,5,2,1726755098.2
8.62458603177,1.26730467894,103.790910853,2,5,2,1726755098.25
8.69637235627,1.2673048946,103.790910991,2,5,2,1726755098.3
8.695404917,1.26730488979,103.790910986,2,5,2,1726755098.34
8.69356548786,1.26730489226,103.790910984,2,5,2,1726755098.39
8.69160355814,1.26730488523,103.790910967,2,5,2,1726755098.45
8.69300559722,1.26730489044,103.790910982,2,5,2,1726755098.5
8.69861306902,1.26730490432,103.790910986,2,5,2,1726755098.54
8.69572513923,1.26730490915,103.790910976,2,5,2,1726755098.61
8.69469854422,1.26730490183,103.790910974,2,5,2,1726755098.64
8.69218004495,1.2673048922,103.790910972,2,5,2,1726755098.68
8.6959548397,1.26730488951,103.790910978,2,5,2,1726755098.75
8.69093914237,1.26730488652,103.790910975,2,5,2,1726755098.8
8.69049753249,1.26730488159,103.790910974,2,5,2,1726755098.84
8.69568966143,1.26730489063,103.790910982,2,5,2,1726755098.89
8.69037733041,1.26730488019,103.790910979,2,5,2,1726755098.94
8.69004350901,1.26730488753,103.790910959,2,5,2,1726755099.02
8.69130913354,1.26730488864,103.790910964,2,5,2,1726755099.03
8.69359365664,1.26730489079,103.790910955,2,5,2,1726755099.09
8.69316688552,1.26730488973,103.790910959,2,5,2,1726755099.14
