altitude,latitude,longitude,Time (s)
17.7835800778,1.273763645,103.78999489,1714983286.72
17.7838833602,1.2737636779,103.789994892,1714983286.76
17.7827175139,1.27376365486,103.789994901,1714983286.81
17.7845702739,1.2737636382,103.789994906,1714983286.86
17.784778174,1.27376364689,103.789994907,1714983286.93
17.7856001137,1.27376366058,103.789994893,1714983286.96
17.7832158804,1.27376367799,103.7899949,1714983287.07
17.7834483292,1.27376367194,103.789994895,1714983287.11
17.7810139237,1.27376367467,103.789994891,1714983287.15
17.7823255081,1.27376364005,103.789994893,1714983287.2
17.7860495672,1.27376367048,103.789994902,1714983287.26
17.7810864775,1.27376368353,103.789994907,1714983287.3
17.7825809019,1.27376365628,103.789994909,1714983287.36
17.7811050508,1.27376365446,103.789994894,1714983287.4
17.778286173,1.27376366183,103.789994898,1714983287.45
17.7810697416,1.27376364931,103.789994901,1714983287.51
17.7832134543,1.2737636352,103.789994895,1714983287.55
17.7804420153,1.27376365829,103.7899949,1714983287.62
17.7847349904,1.27376366226,103.789994896,1714983287.66
17.7824868215,1.27376365733,103.789994901,1714983287.71
17.7818598123,1.2737636372,103.789994905,1714983287.76
17.7811896447,1.27376365844,103.789994891,1714983287.81
17.7831041208,1.27376365375,103.789994895,1714983287.86
17.781529068,1.27376367127,103.789994918,1714983287.91
17.7779552396,1.27376368171,103.7899949,1714983287.96
17.7837870345,1.27376366108,103.78999491,1714983288.11
17.779835674,1.27376365585,103.789994905,1714983288.13
17.782892351,1.27376366999,103.789994911,1714983288.16
17.7830541385,1.27376367046,103.789994898,1714983288.21
17.7830132563,1.27376366612,103.789994905,1714983288.25
17.7811083607,1.27376365198,103.789994907,1714983288.3
17.7803661823,1.27376367328,103.789994899,1714983288.36
17.7823374011,1.2737636654,103.789994909,1714983288.41
17.7829263909,1.27376367814,103.78999491,1714983288.46
17.7839750452,1.27376367106,103.78999491,1714983288.51
17.7804069556,1.2737636733,103.789994912,1714983288.55
17.7809646148,1.2737636646,103.789994905,1714983288.61
17.7846071916,1.27376366835,103.789994907,1714983288.65
17.7808110332,1.27376368071,103.78999491,1714983288.72
17.7822369169,1.27376367353,103.789994908,1714983288.75
17.7818424338,1.27376366214,103.7899949,1714983288.81
17.7851874242,1.27376368441,103.789994923,1714983288.85
17.782417017,1.27376367189,103.789994923,1714983288.9
17.7802718347,1.27376366679,103.789994912,1714983288.95
17.7831976712,1.2737636636,103.789994899,1714983289.03
17.7789537134,1.27376366107,103.789994899,1714983289.05
17.7803758634,1.27376364005,103.789994897,1714983289.1
17.7820519805,1.27376366368,103.789994901,1714983289.15
17.7802048642,1.27376363915,103.789994896,1714983289.2
17.7794459993,1.27376364533,103.789994902,1714983289.25
17.7851657122,1.27376365648,103.789994899,1714983289.3
17.7829318009,1.27376365866,103.789994905,1714983289.35
17.7790754549,1.27376365072,103.789994906,1714983289.4
17.7848812714,1.27376367292,103.7899949,1714983289.46
17.7815355863,1.27376363719,103.789994911,1714983289.51
17.7824371206,1.27376364496,103.78999491,1714983289.56
17.7802129928,1.27376365751,103.789994901,1714983289.62
17.7806854788,1.27376365408,103.789994903,1714983289.66
17.7838142961,1.27376364569,103.789994903,1714983289.71
17.7825006843,1.27376366899,103.789994909,1714983289.76
17.7826100364,1.27376367549,103.789994908,1714983289.81
17.7816572711,1.2737636529,103.789994915,1714983289.87
17.7803314263,1.27376366926,103.789994908,1714983289.91
17.7790901922,1.27376367699,103.789994928,1714983289.96
17.7800261267,1.27376365713,103.789994922,1714983290.05
17.7806993276,1.27376367201,103.789994916,1714983290.07
17.7777601434,1.27376366117,103.789994911,1714983290.12
17.7761569079,1.27376365269,103.789994912,1714983290.16
17.7784737842,1.27376365848,103.789994924,1714983290.21
17.7779624695,1.27376366109,103.789994924,1714983290.26
17.7769829826,1.27376365909,103.789994917,1714983290.31
17.7774085673,1.27376365062,103.789994905,1714983290.35
17.7771569677,1.27376367456,103.789994906,1714983290.4
